term_name,class_name,term_ns_name,term_iri,term_version_iri,label,definition,usage,notes,examples,type
collectionManagementSystem,ObjectGroup,ltc:collectionManagementSystem,http://rs.tdwg.org/ltc/terms/collectionManagementSystem,http://rs.tdwg.org/ltc/terms/version/collectionManagementSystem-2023-08-01,Collection Management System,The collection management system which is used to hold and manage the primary data for the objects contained within the ObjectGroup.,,"This should reflect the system or database in which the object-level records reside, rather than the source of the Collection Description data.","`Specify 7`, `DINA`, `Axiell EMu`, `Arctos`, `EarthCape`, `BRAHMS`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
collectionName,ObjectGroup,ltc:collectionName,http://rs.tdwg.org/ltc/terms/collectionName,http://rs.tdwg.org/ltc/terms/version/collectionName-2023-08-01,Collection Name,A short title that summarises the collection objects contained within the ObjectGroup.,,,"`The Leslie Hubricht Molluscan Collection`, `NHM Algae, Fungi and Plants collection`, `Crustacea â€“ Cirripedes, Decapoda`, `Global Mesozoic and Paleozoic mollusc faunas/samples`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
conditionsOfAccess,ObjectGroup,ltc:conditionsOfAccess,http://rs.tdwg.org/ltc/terms/conditionsOfAccess,http://rs.tdwg.org/ltc/terms/version/conditionsOfAccess-2023-08-01,Conditions of Access,Information about who can access the collection being described or an indication of its security status.,,"If available, this should be a URL to a stable policy page. For example, https://www.fieldmuseum.org/science/research/area/fossils-meteorites/fossils-meteorites-policies.",`Open to the public`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
degreeOfEstablishment,ObjectGroup,dwc:degreeOfEstablishment,http://rs.tdwg.org/dwc/terms/degreeOfEstablishment,,Degree of Establishment,"The degree to which an Organism survives, reproduces, and expands its range at the given place and time.",,"Some preserved collections are specifically created from cultivated or captive organisms, or perhaps from rare vagrants. Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/doe/. For details, refer to https://doi.org/10.3897/biss.3.38084.","`native`, `captive`, `cultivated`, `released`, `failing`, `casual`, `reproducing`, `established`, `colonising`, `invasive`, `widespreadInvasive`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
description,ObjectGroup,ltc:description,http://rs.tdwg.org/ltc/terms/description,http://rs.tdwg.org/ltc/terms/version/description-2023-08-01,Description,A free text description or narrative about the collection.,,"Use this field to record information about the collection in a human-readable, narrative style to introduce the main characteristics of the collection to someone unfamiliar to it. It may include additional information or re-state information held elsewhere in the collection description record - for example, for more atomic, categorised textual descriptions and narratives the MeasurementOrFact class should be used.","`The Chicago Academy of Sciences holds material documenting the biodiversity of Midwest / Western Great Lakes region from the 1830s to the present, and includes comparative and historic material collected across North America. These collections include zoology, botany, earth sciences, cultural, audiovisual, and archives. The institutional collection code CHAS was used historically to reference vertebrate and malacology collections at the Academy and was designated as the primary collection code for all the collections.`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
discipline,ObjectGroup,ltc:discipline,http://rs.tdwg.org/ltc/terms/discipline,http://rs.tdwg.org/ltc/terms/version/discipline-2023-08-01,Discipline,A high level classification of the scientific discipline to which the objects within the collection belong or are related.,,"The recommendation is to use a controlled vocabulary that is also common across other community collections, object and occurrence standards. Suggested list https://confluence.egi.eu/display/EGIG/Scientific+Disciplines","`Anthropology`, `Botany`, `Extraterrestrial`, `Geology`, `Microorganisms`, `Other geo/biodiversity`, `Palaeontology`, `Virology`, `Zoology invertebrates`, `Zoology vertebrates`, `Unspecified`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasChronometricAge,ObjectGroup,ltc:hasChronometricAge,http://rs.tdwg.org/ltc/terms/hasChronometricAge,http://rs.tdwg.org/ltc/terms/version/hasChronometricAge-2023-08-01,Has Chronometric Age,This property refers to one or more related instances of the ChronometricAge class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasCollectionStatusHistory,ObjectGroup,ltc:hasCollectionStatusHistory,http://rs.tdwg.org/ltc/terms/hasCollectionStatusHistory,http://rs.tdwg.org/ltc/terms/version/hasCollectionStatusHistory-2023-08-01,Has Collection Status History,This property refers to one or more related instances of the CollectionStatusHistory class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasEcologicalContext,ObjectGroup,ltc:hasEcologicalContext,http://rs.tdwg.org/ltc/terms/hasEcologicalContext,http://rs.tdwg.org/ltc/terms/version/hasEcologicalContext-2023-08-01,Has Ecological Context,This property refers to one or more related instances of the EcologicalContext class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasEvent,ObjectGroup,ltc:hasEvent,http://rs.tdwg.org/ltc/terms/hasEvent,http://rs.tdwg.org/ltc/terms/version/hasEvent-2023-08-01,Has Event,This property refers to one or more related instances of the Event class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasGeographicContext,ObjectGroup,ltc:hasGeographicContext,http://rs.tdwg.org/ltc/terms/hasGeographicContext,http://rs.tdwg.org/ltc/terms/version/hasGeographicContext-2023-08-01,Has Geographic Context,This property refers to one or more related instances of the GeographicContext class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasGeologicalContext,ObjectGroup,ltc:hasGeologicalContext,http://rs.tdwg.org/ltc/terms/hasGeologicalContext,http://rs.tdwg.org/ltc/terms/version/hasGeologicalContext-2023-08-01,Has Geological Context,This property refers to one or more related instances of the GeologicalContext class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasIdentifier,ObjectGroup,ltc:hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier,http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasMeasurementOrFact,ObjectGroup,ltc:hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasObjectClassification,ObjectGroup,ltc:hasObjectClassification,http://rs.tdwg.org/ltc/terms/hasObjectClassification,http://rs.tdwg.org/ltc/terms/version/hasObjectClassification-2023-08-01,Has Object Classification,This property refers to one or more related instances of the ObjectClassification class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasOrganisationalUnit,ObjectGroup,ltc:hasOrganisationalUnit,http://rs.tdwg.org/ltc/terms/hasOrganisationalUnit,http://rs.tdwg.org/ltc/terms/version/hasOrganisationalUnit-2023-08-01,Has Organisational Unit,This property refers to one or more related instances of the OrganisationalUnit class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasPersonRole,ObjectGroup,ltc:hasPersonRole,http://rs.tdwg.org/ltc/terms/hasPersonRole,http://rs.tdwg.org/ltc/terms/version/hasPersonRole-2023-08-01,Has Person Role,This property refers to one or more related instances of the PersonRole class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasReference,ObjectGroup,ltc:hasReference,http://rs.tdwg.org/ltc/terms/hasReference,http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasResourceRelationship,ObjectGroup,ltc:hasResourceRelationship,http://rs.tdwg.org/ltc/terms/hasResourceRelationship,http://rs.tdwg.org/ltc/terms/version/hasResourceRelationship-2023-08-01,Has Resource Relationship,This property refers to one or more related instances of the ResourceRelationship class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasStorageLocation,ObjectGroup,ltc:hasStorageLocation,http://rs.tdwg.org/ltc/terms/hasStorageLocation,http://rs.tdwg.org/ltc/terms/version/hasStorageLocation-2023-08-01,Has Storage Location,This property refers to one or more related instances of the StorageLocation class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasTaxon,ObjectGroup,ltc:hasTaxon,http://rs.tdwg.org/ltc/terms/hasTaxon,http://rs.tdwg.org/ltc/terms/version/hasTaxon-2023-08-01,Has Taxon,This property refers to one or more related instances of the Taxon class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isCurrentCollection,ObjectGroup,ltc:isCurrentCollection,http://rs.tdwg.org/ltc/terms/isCurrentCollection,http://rs.tdwg.org/ltc/terms/version/isCurrentCollection-2023-08-01,Is Current Collection,A flag to indicate whether the collection still exists as a single entity.,,Use this to indicate if the record describes the entirety of a known historical collection. If only part of the collection is present the value is 'false'.,`true` `false`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isKnownToContainTypes,ObjectGroup,ltc:isKnownToContainTypes,http://rs.tdwg.org/ltc/terms/isKnownToContainTypes,http://rs.tdwg.org/ltc/terms/version/isKnownToContainTypes-2023-08-01,Is Known To Contain Types,Flag property to indicate that the collection is known to include type specimens.,,`true` - this collection contains types; `false` - this collections does not contain types,`true` `false`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
material,ObjectGroup,ltc:material,http://rs.tdwg.org/ltc/terms/material,http://rs.tdwg.org/ltc/terms/version/material-2023-08-01,Material,"Material denotes the raw substance(s) from which the object is formed, in whole or in part.",,"This definition maps roughly to the concept of E57 'material' from the CIDOC CRM: https://cidoc-crm.org/Entity/E57-Material/version-7.1.1. The object, or artefact could contain biological parts, for example jewellery made of amber with insects in, or cloaks made of bird feathers. It should not be used for taxonomic identifications.","`Biological body`, `Organism material (cp. objectType = `Organism product`)`, `Viable cells`, `Protein`, `RNA`, `DNA`, etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
objectType,ObjectGroup,ltc:objectType,http://rs.tdwg.org/ltc/terms/objectType,http://rs.tdwg.org/ltc/terms/version/objectType-2023-08-01,Object Type,High-level terms for the classification of curated objects.,A more generic classification of items in the collection than described in preparationType.,"Hands-on, practical attributes classifying the stored curated objects. You will expect to find these kinds and types of objects when you go to and access their storage location. This should not be used for classifying objects by taxon. The best way to do that is to use the Taxon class (formal taxonomy and vernacular names) or ObjectClassification class (informal classification).","if baseTypeOfObjectGroup = `MaterialEntity`: `Specimen`, `Tissue`, `Culture`, `HTS Library`, `Lysate`, `Environmental sample`, `Extracted/Preserved DNA/RNA`, `Microscope slide`, `Spore print`, `Macrofossil`, `Mesofossil`, `Microfossil`, `Oversized fossil`; if typeOfObjectGroup = `Non-biological`: `Macro-object`, `Micro-object`, `Oversized object`, `Cut/polished gemstone`, `Core`, `Fluid`, `Hazardous material/object`, `Mixed`; if baseTypeOfObjectGroup = `InformationArtefact`: `Text`, `Audio`, `Visual`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
period,ObjectGroup,ltc:period,http://rs.tdwg.org/ltc/terms/period,http://rs.tdwg.org/ltc/terms/version/period-2023-08-01,Period,Used to describe prehistoric or historic periods.,Used to describe the prehistoric or historic period from which objects in the collection originated.,"Often used to describe prehistoric or historic periods, but also geopolitical units and activities of settlements are regarded as special cases of Period. However, there are no assumptions about the scale of the associated phenomena. In particular all events are seen as synthetic processes consisting of coherent phenomena. This property maps to the Period class of the CIDOC-CRM conceptual reference model (http://www.cidoc-crm.org/Entity/e4-period/version-7.1.1).","`Neolithic Period`, `Ming Dynasty`, `McCarthy Era`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
preparationType,ObjectGroup,ltc:preparationType,http://rs.tdwg.org/ltc/terms/preparationType,http://rs.tdwg.org/ltc/terms/version/preparationType-2023-08-01,Preparation Type,A term used to classify or describe an object that indicates the actions that have been taken upon it and/or the processes it has been put through to prepare it for scientific use or study.,A more specific classification of items in the collection than described in objectType.,"These attributes commonly identify the parts or states that are the outcome of the preparation process, which produced the curated object. This can be the same as PreservationMethod (e.g. Bone), but is not always. For cultural collections terms such as 'bowl', 'textile' are appropriate at this level. This should not be used for classifying objects by taxon. The best way to do that is to use the Taxon class (formal taxonomy and vernacular names) or ObjectClassification class (informal classification).","if objectType = `Specimen` or `Part of entity`: `Bones`, `Eggs`, `Pollen`, `Muscle`, `Leaf`, `Blood`, `Skins`, `Shells`, `Wood`, ... ; if typeOfObjectGroup = `human-made`: `Bowl`, `Textile`, ...; if typeOfObjectGroup = `digital`: `txt`, `jpg`, `mp4`, ...; etc",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
preservationMethod,ObjectGroup,ltc:preservationMethod,http://rs.tdwg.org/ltc/terms/preservationMethod,http://rs.tdwg.org/ltc/terms/version/preservationMethod-2023-08-01,Preservation Method,"A term used to classify or describe an object that indicates the primary or most recent action, measure or process that has been used in order to preserve the objects in the collection for long-term storage.",For the purposes of a collection description preservationType should be used to describe the larger collection,Preservation method generally describes the final storage state. Not intended to be used as the fossilization method. Use preservationMode for that. This field is intended to be use where a collection has a single or prominent preservationMethod. We recommend the Arctos PART_PRESERVATION vocabulary (https://arctos.database.museum/info/ctDocumentation.cfm?table=CTPART_PRESERVATION). For herbarium sheets use 'dried_pressed'. If an alcohol collection uses mixed percentages use 'alcohol'.,"`dried`, `dried_pressed`, `dried_pinned`, `Dried assemblage`, `Dried - not assembled`, `Dry preserved`, `papered/packaged`, `slide box`, `Skeletonized`, `Tanned`, `mounted`, `Slide mount`, `Embedded`, `gum_arabic`, `Blood sampling cards (biomedical)`, `Fluid preserved`, `Alcohol, formaledhyde`, `glycerin`, `EDTA`, `frozen / cryopreserved`, `Cryopreserved / frozen - 80C`, `refrigerated`, `freeze_dried`, `Surface coating`, `SEM stub`, `Stasis`, `cell culture`, `axenic culture`, `viable cells`, `Controlled atmosphere`, `Climate controlled conditions`, `Non climate controlled conditions`, `no_treatment`, etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
preservationMode,ObjectGroup,ltc:preservationMode,http://rs.tdwg.org/ltc/terms/preservationMode,http://rs.tdwg.org/ltc/terms/version/preservationMode-2023-08-01,Preservation Mode,"The means by which a palaeontological specimen was preserved or created e.g. body, cast, mold, trace fossil, soft parts mineralised etc.",Use to describe the preservation mode of a collection as a whole (e.g. Amber collection).,This property should be only used in association with ObjectGroups that contain paleontological material. It is aligned with the concept of preservationMode in ABCD(EFG) (https://efg.geocase.eu/documentation/html/efg.html#element_PreservationMode_Link03032878).,"`adpression/compression`, `body`, `cast`, `charcoalification`, `coalified`, `concretion`, `dissolution traces`, `mold/impression`, `permineralised`, `recrystallised`, `soft parts`, `trace`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
typeOfObjectGroup,ObjectGroup,ltc:typeOfObjectGroup,http://rs.tdwg.org/ltc/terms/typeOfObjectGroup,http://rs.tdwg.org/ltc/terms/version/typeOfObjectGroup-2023-08-01,Type Of Object Group,Additional information that describes the object(s) in the collection.,,"High-level information that enables the finding of the group and/or its object(s) in searches by users on the web using attributes commonly of interest. Recommended best practice is to use a controlled vocabulary. Terms such as soil, pollen, faeces, muscle, genomic DNA are currently put in preparationType.","if baseTypeOfObjectGroup = `MaterialEntity`: `Living`, `Preserved`, `Fossilized`, `Non-biological`, `Human-made`; if baseTypeOfObjectGroup = `InformationArtefact`: `Digital`, `Physical`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
OrganisationalUnit,OrganisationalUnit,ltc:OrganisationalUnit,http://rs.tdwg.org/ltc/terms/OrganisationalUnit,http://rs.tdwg.org/ltc/terms/version/OrganisationalUnit-2023-08-01,Organisational Unit,"A unit within an organisational hierarchy which may be at, above or below the institutional level.",,"This class can represent any level of organisational unit, incorporating institutions (e.g. a museum), higher units (e.g. a university to which a museum belongs) and more detailed structures (e.g the departments and divisions within a museum). It can be used to arrange these different units at different levels into a hierarchical structure. This class combines aspects of both class org:Organization (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#org:Organization) and class org:OrganizationalUnit (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#org:OrganizationalUnit) from the W3C Organization Ontology ORG (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#overview-of-ontology). Recommended best practice is to associate a unique, persistent organisational identifier (PID) with each created organisational unit. This will allow an unambiguous and continual identification of the unit, as well as the creation of organisational hierarchies. Existing providers of PIDs for organisations are, e.g. https://grid.ac/ and https://ror.org/. The provision of organisational PIDs might be extended to intra-organisational units in the future. Properties of Class: Identifier can be used to add identifier information for organisational units.",,http://www.w3.org/2000/01/rdf-schema#Class
hasAddress,OrganisationalUnit,ltc:hasAddress,http://rs.tdwg.org/ltc/terms/hasAddress,http://rs.tdwg.org/ltc/terms/version/hasAddress-2023-08-01,Has Address,This property refers to one or more related instances of the Address class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasContactDetail,OrganisationalUnit,ltc:hasContactDetail,http://rs.tdwg.org/ltc/terms/hasContactDetail,http://rs.tdwg.org/ltc/terms/version/hasContactDetail-2023-08-01,Has Contact Detail,This property refers to one or more related instances of the ContactDetail class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasIdentifier,OrganisationalUnit,ltc:hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier,http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasMeasurementOrFact,OrganisationalUnit,ltc:hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasParentOrganisationalUnit,OrganisationalUnit,ltc:hasParentOrganisationalUnit,http://rs.tdwg.org/ltc/terms/hasParentOrganisationalUnit,http://rs.tdwg.org/ltc/terms/version/hasParentOrganisationalUnit-2023-08-01,Has Parent Organisational Unit,This property refers to one or more related parent instances of the OrganisationalUnit class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasPersonRole,OrganisationalUnit,ltc:hasPersonRole,http://rs.tdwg.org/ltc/terms/hasPersonRole,http://rs.tdwg.org/ltc/terms/version/hasPersonRole-2023-08-01,Has Person Role,This property refers to one or more related instances of the PersonRole class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasReference,OrganisationalUnit,ltc:hasReference,http://rs.tdwg.org/ltc/terms/hasReference,http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
organisationalUnitName,OrganisationalUnit,ltc:organisationalUnitName,http://rs.tdwg.org/ltc/terms/organisationalUnitName,http://rs.tdwg.org/ltc/terms/version/organisationalUnitName-2023-08-01,Organisational Unit Name,An official name of the organisational unit in the local language.,,"Repeatable where there are more than one official local language required for example Belgian Institutions where an official name exists in French, Dutch, German and English. See 'A Collection of Crosswalks from Fifteen Research Data Schemas to Schema.org' (https://www.rd-alliance.org/group/research-metadata-schemas-wg/outcomes/collection-crosswalks-fifteen-research-data-schemas) from RDA for crosswalks for properties with the function of Name, Title, etc. Take into account the note at the class level (Class:OrganisationalUnit) about associating an identifier in addition to a name with the organisational unit.","`MusÃ©um national d'Histoire naturelle`, `The Field Museum of Natural History`, `Division of Fishes`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
organisationalUnitType,OrganisationalUnit,ltc:organisationalUnitType,http://rs.tdwg.org/ltc/terms/organisationalUnitType,http://rs.tdwg.org/ltc/terms/version/organisationalUnitType-2023-08-01,Organisational Unit Type,The type or level of organisational unit within a hierarchy responsible for the management of the collection being described.,,Example vocabulary list: https://vocab.org/aiiso/ . This property is likely related to the W3C class org:Role (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#class-role).,"`Department` (A group of people recognised by an organization as forming a cohesive group referred to by the organization as a department), `Division` (A group of people recognised by an organization as forming a cohesive group referred to by the organization as a division)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
Person,Person,ltc:Person,http://rs.tdwg.org/ltc/terms/Person,http://rs.tdwg.org/ltc/terms/version/Person-2023-08-01,Person,"A person (alive, dead, undead, or fictional).",A person (alive or dead).,"This concept should map to the Schema.org Person class (https://schema.org/Person), and the prov:Person class (http://www.w3.org/ns/prov#Person) in the PROV ontology. In the latter, it is a subclass of prov:Agent, which through which it can map to the RDA recommendations on attribution (http://dx.doi.org/10.15497/RDA00029). The definition is appropriated from the Schema.org class.",,http://www.w3.org/2000/01/rdf-schema#Class
additionalName,Person,schema:additionalName,https://schema.org/additionalName,,Additional Name,"An additional name for a Person, can be used for a middle name.",,,"`Stewart`, `Grace`, `Manthey`, `Kwame`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
familyName,Person,schema:familyName,https://schema.org/familyName,,Family Name,"Family name. In the U.S., the last name of a Person.",,,"`Jones`, `Keita`, `O'Rourke`, `CarreÃ±o QuiÃ±ones`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
fullName,Person,abcd:fullName,http://rs.tdwg.org/abcd/terms/fullName,,Full Name,String of the preferred form of personal name for displaying.,,,"`James Ewert Bradshaw`, `T. van Hooijdonk`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
givenName,Person,schema:givenName,https://schema.org/givenName,,Given Name,"Given name. In the U.S., the first name of a Person.",,,"`Beth`, `John`, `MarÃ­a JosÃ©`, `BjÃ¶rn`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasAddress,Person,ltc:hasAddress,http://rs.tdwg.org/ltc/terms/hasAddress,http://rs.tdwg.org/ltc/terms/version/hasAddress-2023-08-01,Has Address,This property refers to one or more related instances of the Address class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasContactDetail,Person,ltc:hasContactDetail,http://rs.tdwg.org/ltc/terms/hasContactDetail,http://rs.tdwg.org/ltc/terms/version/hasContactDetail-2023-08-01,Has Contact Detail,This property refers to one or more related instances of the ContactDetail class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasIdentifier,Person,ltc:hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier,http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasMeasurementOrFact,Person,ltc:hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasReference,Person,ltc:hasReference,http://rs.tdwg.org/ltc/terms/hasReference,http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
PersonRole,PersonRole,ltc:PersonRole,http://rs.tdwg.org/ltc/terms/PersonRole,http://rs.tdwg.org/ltc/terms/version/PersonRole-2023-08-01,Person Role,A qualified association between a Person or OrganisationalUnit and an entity such as an ObjectGroup or MeasurementOrFact that enables the relationship to be contextualised with a specific role and time period.,,"This class is aligned with the prov:qualifiedAttribution property (http://www.w3.org/ns/prov#qualifiedAttribution). It should be used instead of the Activity and PersonActivity classes to link a Person or OrganisationalUnit to an entity in situations where an activity is not know or is irrelevant, for example for describing a person's role within an organisation. It is not mandatory to link to either a Person or a Role in this class, to support use cases where a role is known but the person who fulfilled it is not, and where a person is known to have been involved but the context is not. However, it's expected that at least one of the hasPerson and hasRole properties is populated.",,http://www.w3.org/2000/01/rdf-schema#Class
hasAddress,PersonRole,ltc:hasAddress,http://rs.tdwg.org/ltc/terms/hasAddress,http://rs.tdwg.org/ltc/terms/version/hasAddress-2023-08-01,Has Address,This property refers to one or more related instances of the Address class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasContactDetail,PersonRole,ltc:hasContactDetail,http://rs.tdwg.org/ltc/terms/hasContactDetail,http://rs.tdwg.org/ltc/terms/version/hasContactDetail-2023-08-01,Has Contact Detail,This property refers to one or more related instances of the ContactDetail class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasIdentifier,PersonRole,ltc:hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier,http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasMeasurementOrFact,PersonRole,ltc:hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasPerson,PersonRole,ltc:hasPerson,http://rs.tdwg.org/ltc/terms/hasPerson,http://rs.tdwg.org/ltc/terms/version/hasPerson-2023-08-01,Has Person,This property refers to one or more related instances of the Person class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasReference,PersonRole,ltc:hasReference,http://rs.tdwg.org/ltc/terms/hasReference,http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasRole,PersonRole,ltc:hasRole,http://rs.tdwg.org/ltc/terms/hasRole,http://rs.tdwg.org/ltc/terms/version/hasRole-2023-08-01,Has Role,This property refers to one or more related instances of the Role class.,,This property maps to the PROV-O property hadRole (http://www.w3.org/ns/prov#hadRole).,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasTemporalCoverage,PersonRole,ltc:hasTemporalCoverage,http://rs.tdwg.org/ltc/terms/hasTemporalCoverage,http://rs.tdwg.org/ltc/terms/version/hasTemporalCoverage-2023-08-01,Has Temporal Coverage,This property refers to one or more related instances of the TemporalCoverage class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
RecordLevel,RecordLevel,ltc:RecordLevel,http://rs.tdwg.org/ltc/terms/RecordLevel,http://rs.tdwg.org/ltc/terms/version/RecordLevel-2023-08-01,Record Level,The machine-actionable information profile for the collection description digital object.,,Linked to the RDA PID Kernel recommendation (https://www.rd-alliance.org/system/files/RDA%20Recommendation%20on%20PID%20Kernel%20Information_final.pdf),,http://www.w3.org/2000/01/rdf-schema#Class
hasIdentifier,RecordLevel,ltc:hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier,http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,Has Identifier,"This property refers to one or more related instances of the Identifier class. Every RecordLevel class must contain at least one Identifier, preferably a PID. ",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasObjectGroup,RecordLevel,ltc:hasObjectGroup,http://rs.tdwg.org/ltc/terms/hasObjectGroup,http://rs.tdwg.org/ltc/terms/version/hasObjectGroup-2023-08-01,Has Object Group,This property refers to one or more related instances of the ObjectGroup class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasPersonRole,RecordLevel,ltc:hasPersonRole,http://rs.tdwg.org/ltc/terms/hasPersonRole,http://rs.tdwg.org/ltc/terms/version/hasPersonRole-2023-08-01,Has Person Role,This property refers to one or more related instances of the PersonRole class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
